From	Entry	Entry Name	Protein names	Gene Names
MOCS3	O95396	MOCS3_HUMAN	Adenylyltransferase and sulfurtransferase MOCS3 (Molybdenum cofactor synthesis protein 3) (Molybdopterin synthase sulfurylase) (MPT synthase sulfurylase) [Includes: Molybdopterin-synthase adenylyltransferase (EC 2.7.7.80) (Adenylyltransferase MOCS3) (Sulfur carrier protein MOCS2A adenylyltransferase); Molybdopterin-synthase sulfurtransferase (EC 2.8.1.11) (Sulfur carrier protein MOCS2A sulfurtransferase) (Sulfurtransferase MOCS3)]	MOCS3 UBA4
MOGS	Q13724	MOGS_HUMAN	Mannosyl-oligosaccharide glucosidase (EC 3.2.1.106) (Processing A-glucosidase I)	MOGS GCS1
MON1A	Q86VX9	MON1A_HUMAN	Vacuolar fusion protein MON1 homolog A	MON1A SAND1
MON1B	Q7L1V2	MON1B_HUMAN	Vacuolar fusion protein MON1 homolog B (HSV-1 stimulation-related gene 1 protein) (HSV-I stimulating-related protein)	MON1B HSRG1 KIAA0872 SAND2
MON2	Q7Z3U7	MON2_HUMAN	Protein MON2 homolog (Protein SF21)	MON2 KIAA1040 SF21
MORC2	Q9Y6X9	MORC2_HUMAN	ATPase MORC2 (EC 3.6.1.-) (MORC family CW-type zinc finger protein 2) (Zinc finger CW-type coiled-coil domain protein 1)	MORC2 KIAA0852 ZCWCC1
MORC3	Q14149	MORC3_HUMAN	MORC family CW-type zinc finger protein 3 (Nuclear matrix protein 2) (Zinc finger CW-type coiled-coil domain protein 3)	MORC3 KIAA0136 NXP2 ZCWCC3
MORF4L1	Q9UBU8	MO4L1_HUMAN	Mortality factor 4-like protein 1 (MORF-related gene 15 protein) (Protein MSL3-1) (Transcription factor-like protein MRG15)	MORF4L1 MRG15 FWP006 HSPC008 HSPC061 PP368
MORF4L2	Q15014	MO4L2_HUMAN	Mortality factor 4-like protein 2 (MORF-related gene X protein) (Protein MSL3-2) (Transcription factor-like protein MRGX)	MORF4L2 KIAA0026 MRGX
MOSPD2	Q8NHP6	MSPD2_HUMAN	Motile sperm domain-containing protein 2	MOSPD2
MOV10	Q9HCE1	MOV10_HUMAN	Helicase MOV-10 (EC 3.6.4.13) (Armitage homolog) (Moloney leukemia virus 10 protein)	MOV10 KIAA1631
MOXD1	Q6UVY6	MOXD1_HUMAN	DBH-like monooxygenase protein 1 (EC 1.14.17.-) (Monooxygenase X)	MOXD1 MOX UNQ2493/PRO5780
MPC1	Q9Y5U8	MPC1_HUMAN	Mitochondrial pyruvate carrier 1 (Brain protein 44-like protein)	MPC1 BRP44L CGI-129 HSPC040 PNAS-115
MPC2	O95563	MPC2_HUMAN	Mitochondrial pyruvate carrier 2 (Brain protein 44)	MPC2 BRP44
MPDZ	O75970	MPDZ_HUMAN	Multiple PDZ domain protein (Multi-PDZ domain protein 1)	MPDZ MUPP1
MPG	P29372	3MG_HUMAN	DNA-3-methyladenine glycosylase (EC 3.2.2.21) (3-alkyladenine DNA glycosylase) (3-methyladenine DNA glycosidase) (ADPG) (N-methylpurine-DNA glycosylase)	MPG AAG ANPG MID1
MPHOSPH10	O00566	MPP10_HUMAN	U3 small nucleolar ribonucleoprotein protein MPP10 (M phase phosphoprotein 10)	MPHOSPH10 MPP10
MPHOSPH6	Q99547	MPH6_HUMAN	M-phase phosphoprotein 6	MPHOSPH6 MPP6
MPHOSPH8	Q99549	MPP8_HUMAN	M-phase phosphoprotein 8 (Two hybrid-associated protein 3 with RanBPM) (Twa3)	MPHOSPH8 MPP8
MPI	P34949	MPI_HUMAN	Mannose-6-phosphate isomerase (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase) (PMI)	MPI PMI1
MPP1	Q00013	EM55_HUMAN	55 kDa erythrocyte membrane protein (p55) (Membrane protein, palmitoylated 1)	MPP1 DXS552E EMP55
MPP5	Q8N3R9	PALS1_HUMAN	Protein PALS1 (MAGUK p55 subfamily member 5) (Membrane protein, palmitoylated 5) (Protein associated with Lin-7 1)	PALS1 MPP5
MPP6	Q99547	MPH6_HUMAN	M-phase phosphoprotein 6	MPHOSPH6 MPP6
MPP6	Q9NZW5	PALS2_HUMAN	Protein PALS2 (MAGUK p55 subfamily member 6) (Membrane protein, palmitoylated 6) (Veli-associated MAGUK 1) (VAM-1)	PALS2 MPP6 VAM1
MPRIP	Q6WCQ1	MPRIP_HUMAN	Myosin phosphatase Rho-interacting protein (M-RIP) (Rho-interacting protein 3) (RIP3) (p116Rip)	MPRIP KIAA0864 MRIP RHOIP3
MPST	P25325	THTM_HUMAN	3-mercaptopyruvate sulfurtransferase (MST) (EC 2.8.1.2)	MPST TST2
MPV17	P39210	MPV17_HUMAN	Protein Mpv17	MPV17
MPV17L2	Q567V2	M17L2_HUMAN	Mpv17-like protein 2	MPV17L2 FKSG24
MPZL1	O95297	MPZL1_HUMAN	Myelin protein zero-like protein 1 (Protein zero-related)	MPZL1 PZR UNQ849/PRO1787
MRE11A	P49959	MRE11_HUMAN	Double-strand break repair protein MRE11 (EC 3.1.-.-) (Double-strand break repair protein MRE11A) (Meiotic recombination 11 homolog 1) (MRE11 homolog 1) (Meiotic recombination 11 homolog A) (MRE11 homolog A)	MRE11 HNGS1 MRE11A
MRFAP1	Q9Y605	MOFA1_HUMAN	MORF4 family-associated protein 1 (Protein PGR1) (Protein associated with MRG of 14 kDa)	MRFAP1 PAM14 PGR1
MRGBP	Q9NV56	MRGBP_HUMAN	MRG/MORF4L-binding protein (MRG-binding protein) (Up-regulated in colon cancer 4) (Urcc4)	MRGBP C20orf20
MRI1	Q9BV20	MTNA_HUMAN	Methylthioribose-1-phosphate isomerase (M1Pi) (MTR-1-P isomerase) (EC 5.3.1.23) (Mediator of RhoA-dependent invasion) (S-methyl-5-thioribose-1-phosphate isomerase) (Translation initiation factor eIF-2B subunit alpha/beta/delta-like protein)	MRI1 MRDI UNQ6390/PRO21135
MRM1	Q6IN84	MRM1_HUMAN	rRNA methyltransferase 1, mitochondrial (EC 2.1.1.-) (16S rRNA (guanosine(1145)-2'-O)-methyltransferase) (16S rRNA [Gm1145] 2'-O-methyltransferase)	MRM1
MROH1	Q8NDA8	MROH1_HUMAN	Maestro heat-like repeat-containing protein family member 1 (HEAT repeat-containing protein 7A)	MROH1 HEATR7A KIAA1833
MROH2B	Q7Z745	MRO2B_HUMAN	Maestro heat-like repeat-containing protein family member 2B (HEAT repeat-containing protein 7B2) (Sperm PKA-interacting factor) (SPIF)	MROH2B HEATR7B2
MRPL1	Q9BYD6	RM01_HUMAN	Large ribosomal subunit protein uL1m (39S ribosomal protein L1, mitochondrial) (L1mt) (MRP-L1)	MRPL1 BM-022
MRPL10	Q7Z7H8	RM10_HUMAN	Large ribosomal subunit protein uL10m (39S ribosomal protein L10, mitochondrial) (L10mt) (MRP-L10) (39S ribosomal protein L8, mitochondrial) (L8mt) (MRP-L8)	MRPL10 MRPL8 RPML8
MRPL11	Q9Y3B7	RM11_HUMAN	Large ribosomal subunit protein uL11m (39S ribosomal protein L11, mitochondrial) (L11mt) (MRP-L11)	MRPL11 CGI-113
MRPL12	P52815	RM12_HUMAN	Large ribosomal subunit protein bL12m (39S ribosomal protein L12, mitochondrial) (L12mt) (MRP-L12) (5c5-2)	MRPL12 MRPL7 RPML12
MRPL13	Q9BYD1	RM13_HUMAN	Large ribosomal subunit protein uL13m (39S ribosomal protein L13, mitochondrial) (L13mt) (MRP-L13)	MRPL13
MRPL14	Q6P1L8	RM14_HUMAN	Large ribosomal subunit protein uL14m (39S ribosomal protein L14, mitochondrial) (L14mt) (MRP-L14) (39S ribosomal protein L32, mitochondrial) (L32mt) (MRP-L32)	MRPL14 MRPL32 RPML32
MRPL15	P49406	RM19_HUMAN	Large ribosomal subunit protein bL19m (39S ribosomal protein L15, mitochondrial) (L15mt) (MRP-L15) (39S ribosomal protein L19, mitochondrial) (L19mt) (MRP-L19)	MRPL19 KIAA0104 MRPL15
MRPL15	Q9P015	RM15_HUMAN	Large ribosomal subunit protein uL15m (39S ribosomal protein L15, mitochondrial) (L15mt) (MRP-L15)	MRPL15 HSPC145
MRPL16	Q9NX20	RM16_HUMAN	Large ribosomal subunit protein uL16m (39S ribosomal protein L16, mitochondrial) (L16mt) (MRP-L16)	MRPL16 PNAS-111
MRPL17	Q9NRX2	RM17_HUMAN	Large ribosomal subunit protein bL17m (39S ribosomal protein L17, mitochondrial) (L17mt) (MRP-L17) (LYST-interacting protein 2)	MRPL17 LIP2
MRPL18	Q9H0U6	RM18_HUMAN	Large ribosomal subunit protein uL18m (39S ribosomal protein L18, mitochondrial) (L18mt) (MRP-L18)	MRPL18 HSPC071
MRPL19	P49406	RM19_HUMAN	Large ribosomal subunit protein bL19m (39S ribosomal protein L15, mitochondrial) (L15mt) (MRP-L15) (39S ribosomal protein L19, mitochondrial) (L19mt) (MRP-L19)	MRPL19 KIAA0104 MRPL15
MRPL2	Q5T653	RM02_HUMAN	Large ribosomal subunit protein uL2m (39S ribosomal protein L2, mitochondrial) (L2mt) (MRP-L2)	MRPL2 CGI-22
MRPL2	Q9BZE1	RM37_HUMAN	Large ribosomal subunit protein mL37 (39S ribosomal protein L2, mitochondrial) (L2mt) (MRP-L2) (39S ribosomal protein L37, mitochondrial) (L37mt) (MRP-L37)	MRPL37 MRPL2 RPML2 HSPC235
MRPL20	Q9BYC9	RM20_HUMAN	Large ribosomal subunit protein bL20m (39S ribosomal protein L20, mitochondrial) (L20mt) (MRP-L20)	MRPL20
MRPL21	Q7Z2W9	RM21_HUMAN	Large ribosomal subunit protein bL21m (39S ribosomal protein L21, mitochondrial) (L21mt) (MRP-L21)	MRPL21
MRPL22	Q9NWU5	RM22_HUMAN	Large ribosomal subunit protein uL22m (39S ribosomal protein L22, mitochondrial) (L22mt) (MRP-L22) (39S ribosomal protein L25, mitochondrial) (L25mt) (MRP-L25)	MRPL22 MRPL25 RPML25 HSPC158
MRPL23	Q16540	RM23_HUMAN	Large ribosomal subunit protein uL23m (39S ribosomal protein L23, mitochondrial) (L23mt) (MRP-L23) (L23 mitochondrial-related protein) (Ribosomal protein L23-like)	MRPL23 L23MRP RPL23L
MRPL24	Q96A35	RM24_HUMAN	Large ribosomal subunit protein uL24m (39S ribosomal protein L24, mitochondrial) (L24mt) (MRP-L24)	MRPL24
MRPL27	Q8IXM3	RM41_HUMAN	Large ribosomal subunit protein mL41 (39S ribosomal protein L41, mitochondrial) (L41mt) (MRP-L41) (Bcl-2-interacting mitochondrial ribosomal protein L41) (Cell proliferation-inducing gene 3 protein) (MRP-L27 homolog)	MRPL41 BMRP MRPL27 RPML27 PIG3
MRPL27	Q9P0M9	RM27_HUMAN	Large ribosomal subunit protein bL27m (39S ribosomal protein L27, mitochondrial) (L27mt) (MRP-L27)	MRPL27 HSPC250
MRPL28	Q13084	RM28_HUMAN	Large ribosomal subunit protein bL28m (39S ribosomal protein L28, mitochondrial) (L28mt) (MRP-L28) (Melanoma antigen p15) (Melanoma-associated antigen recognized by T-lymphocytes)	MRPL28 MAAT1
MRPL28	Q8TCC3	RM30_HUMAN	Large ribosomal subunit protein uL30m (39S ribosomal protein L28, mitochondrial) (L28mt) (MRP-L28) (39S ribosomal protein L30, mitochondrial) (L30mt) (MRP-L30)	MRPL30 MRPL28 RPML28 HSPC249
MRPL3	P09001	RM03_HUMAN	Large ribosomal subunit protein uL3m (39S ribosomal protein L3, mitochondrial) (L3mt) (MRP-L3)	MRPL3 MRL3 RPML3
MRPL30	Q8TCC3	RM30_HUMAN	Large ribosomal subunit protein uL30m (39S ribosomal protein L28, mitochondrial) (L28mt) (MRP-L28) (39S ribosomal protein L30, mitochondrial) (L30mt) (MRP-L30)	MRPL30 MRPL28 RPML28 HSPC249
MRPL32	Q6P1L8	RM14_HUMAN	Large ribosomal subunit protein uL14m (39S ribosomal protein L14, mitochondrial) (L14mt) (MRP-L14) (39S ribosomal protein L32, mitochondrial) (L32mt) (MRP-L32)	MRPL14 MRPL32 RPML32
MRPL32	Q9BYC8	RM32_HUMAN	Large ribosomal subunit protein bL32m (39S ribosomal protein L32, mitochondrial) (L32mt) (MRP-L32)	MRPL32 HSPC283
MRPL34	Q9BQ48	RM34_HUMAN	Large ribosomal subunit protein bL34m (39S ribosomal protein L34, mitochondrial) (L34mt) (MRP-L34)	MRPL34
MRPL35	Q9NZE8	RM35_HUMAN	Large ribosomal subunit protein bL35m (39S ribosomal protein L35, mitochondrial) (L35mt) (MRP-L35)	MRPL35 BM-007
MRPL37	Q9BZE1	RM37_HUMAN	Large ribosomal subunit protein mL37 (39S ribosomal protein L2, mitochondrial) (L2mt) (MRP-L2) (39S ribosomal protein L37, mitochondrial) (L37mt) (MRP-L37)	MRPL37 MRPL2 RPML2 HSPC235
MRPL38	Q96DV4	RM38_HUMAN	Large ribosomal subunit protein mL38 (39S ribosomal protein L38, mitochondrial) (L38mt) (MRP-L38)	MRPL38 HSPC262
MRPL39	Q9NYK5	RM39_HUMAN	Large ribosomal subunit protein mL39 (39S ribosomal protein L39, mitochondrial) (L39mt) (MRP-L39) (39S ribosomal protein L5, mitochondrial) (L5mt) (MRP-L5)	MRPL39 C21orf92 MRPL5 RPML5 MSTP003 PRED22
MRPL4	Q9BYD3	RM04_HUMAN	Large ribosomal subunit protein uL4m (39S ribosomal protein L4, mitochondrial) (L4mt) (MRP-L4)	MRPL4 CDABP0091 CGI-28
MRPL40	Q9NQ50	RM40_HUMAN	Large ribosomal subunit protein mL40 (39S ribosomal protein L40, mitochondrial) (L40mt) (MRP-L40) (Nuclear localization signal-containing protein deleted in velocardiofacial syndrome) (Up-regulated in metastasis)	MRPL40 NLVCF URIM
MRPL41	Q8IXM3	RM41_HUMAN	Large ribosomal subunit protein mL41 (39S ribosomal protein L41, mitochondrial) (L41mt) (MRP-L41) (Bcl-2-interacting mitochondrial ribosomal protein L41) (Cell proliferation-inducing gene 3 protein) (MRP-L27 homolog)	MRPL41 BMRP MRPL27 RPML27 PIG3
MRPL42	Q9Y6G3	RM42_HUMAN	Large ribosomal subunit protein mL42 (39S ribosomal protein L31, mitochondrial) (L31mt) (MRP-L31) (39S ribosomal protein L42, mitochondrial) (L42mt) (MRP-L42)	MRPL42 MRPL31 MRPS32 RPML31 HSPC204 PTD007
MRPL43	Q8N983	RM43_HUMAN	Large ribosomal subunit protein mL43 (39S ribosomal protein L43, mitochondrial) (L43mt) (MRP-L43) (Mitochondrial ribosomal protein bMRP36a)	MRPL43
MRPL44	Q9H9J2	RM44_HUMAN	Large ribosomal subunit protein mL44 (EC 3.1.26.-) (39S ribosomal protein L44, mitochondrial) (L44mt) (MRP-L44)	MRPL44
MRPL45	Q9BRJ2	RM45_HUMAN	Large ribosomal subunit protein mL45 (39S ribosomal protein L45, mitochondrial) (L45mt) (MRP-L45)	MRPL45
MRPL46	Q9H2W6	RM46_HUMAN	Large ribosomal subunit protein mL46 (39S ribosomal protein L46, mitochondrial) (L46mt) (MRP-L46) (P2ECSL)	MRPL46 C15orf4 LIECG2
MRPL47	Q9HD33	RM47_HUMAN	Large ribosomal subunit protein uL29m (39S ribosomal protein L47, mitochondrial) (L47mt) (MRP-L47) (Nasopharyngeal carcinoma metastasis-related protein 1)	MRPL47 NCM1 CGI-204
MRPL48	Q96GC5	RM48_HUMAN	Large ribosomal subunit protein mL48 (39S ribosomal protein L48, mitochondrial) (L48mt) (MRP-L48)	MRPL48 CGI-118 HSPC290
MRPL49	Q13405	RM49_HUMAN	Large ribosomal subunit protein mL49 (39S ribosomal protein L49, mitochondrial) (L49mt) (MRP-L49) (Neighbor of FAU) (NOF) (Protein NOF1)	MRPL49 C11orf4 NOF1 OK/SW-cl.67
MRPL50	Q8N5N7	RM50_HUMAN	Large ribosomal subunit protein mL50 (39S ribosomal protein L50, mitochondrial) (L50mt) (MRP-L50)	MRPL50
MRPL51	Q4U2R6	RM51_HUMAN	Large ribosomal subunit protein mL51 (39S ribosomal protein L51, mitochondrial) (L51mt) (MRP-L51) (bMRP-64) (bMRP64)	MRPL51 MRP64 CDA09 HSPC241
MRPL53	Q96EL3	RM53_HUMAN	Large ribosomal subunit protein mL53 (39S ribosomal protein L53, mitochondrial) (L53mt) (MRP-L53)	MRPL53
MRPL54	Q6P161	RM54_HUMAN	Large ribosomal subunit protein mL54 (39S ribosomal protein L54, mitochondrial) (L54mt) (MRP-L54)	MRPL54
MRPL55	Q7Z7F7	RM55_HUMAN	Large ribosomal subunit protein mL55 (39S ribosomal protein L55, mitochondrial) (L55mt) (MRP-L55) (Mitochondrial large ribosomal subunit protein bL31m)	MRPL55 UNQ5835/PRO19675
MRPL9	Q9BYD2	RM09_HUMAN	Large ribosomal subunit protein bL9m (39S ribosomal protein L9, mitochondrial) (L9mt) (MRP-L9)	MRPL9
MRPS10	P82664	RT10_HUMAN	Small ribosomal subunit protein uS10m (28S ribosomal protein S10, mitochondrial) (MRP-S10) (S10mt)	MRPS10 MSTP040
MRPS11	P82912	RT11_HUMAN	Small ribosomal subunit protein uS11m (28S ribosomal protein S11, mitochondrial) (MRP-S11) (S11mt) (Cervical cancer proto-oncogene 2 protein) (HCC-2)	MRPS11 RPMS11 HCC2
MRPS12	O15235	RT12_HUMAN	Small ribosomal subunit protein uS12m (28S ribosomal protein S12, mitochondrial) (MRP-S12) (S12mt) (MT-RPS12)	MRPS12 RPMS12 RPSM12
MRPS14	O60783	RT14_HUMAN	Small ribosomal subunit protein uS14m (28S ribosomal protein S14, mitochondrial) (MRP-S14) (S14mt)	MRPS14
MRPS15	P82914	RT15_HUMAN	Small ribosomal subunit protein uS15m (28S ribosomal protein S15, mitochondrial) (MRP-S15) (S15mt)	MRPS15 RPMS15 DC37
MRPS16	Q9Y3D3	RT16_HUMAN	Small ribosomal subunit protein bS16m (28S ribosomal protein S16, mitochondrial) (MRP-S16) (S16mt)	MRPS16 RPMS16 CGI-132
MRPS18A	Q9NVS2	RT18A_HUMAN	Large ribosomal subunit protein mL66 (39S ribosomal protein S18-3, mitochondrial) (MRP-S18-3) (39S ribosomal protein S18a, mitochondrial) (MRP-S18-a) (Mrps18a) (S18mt-a) (Large ribosomal subunit protein bS18a)	MRPS18A
MRPS18B	Q9Y676	RT18B_HUMAN	Small ribosomal subunit protein mS40 (28S ribosomal protein S18-2, mitochondrial) (MRP-S18-2) (28S ribosomal protein S18b, mitochondrial) (MRP-S18-b) (Mrps18-b) (S18mt-b) (Small ribosomal subunit protein bS18b)	MRPS18B C6orf14 HSPC183 PTD017
MRPS2	Q9Y399	RT02_HUMAN	Small ribosomal subunit protein uS2m (28S ribosomal protein S2, mitochondrial) (MRP-S2) (S2mt)	MRPS2 CGI-91
MRPS21	P82921	RT21_HUMAN	Small ribosomal subunit protein bS21m (28S ribosomal protein S21, mitochondrial) (MRP-S21) (S21mt)	MRPS21 RPMS21 MDS016
MRPS22	P82650	RT22_HUMAN	Small ribosomal subunit protein mS22 (28S ribosomal protein S22, mitochondrial) (MRP-S22) (S22mt)	MRPS22 C3orf5 RPMS22 GK002
MRPS23	Q9Y3D9	RT23_HUMAN	Small ribosomal subunit protein mS23 (28S ribosomal protein S23, mitochondrial) (MRP-S23) (S23mt)	MRPS23 CGI-138 HSPC329
MRPS24	Q96EL2	RT24_HUMAN	Small ribosomal subunit protein uS3m (28S ribosomal protein S24, mitochondrial) (MRP-S24) (S24mt) (bMRP-47) (bMRP47)	MRPS24 HSPC335
MRPS25	P82663	RT25_HUMAN	Small ribosomal subunit protein mS25 (28S ribosomal protein S25, mitochondrial) (MRP-S25) (S25mt)	MRPS25 RPMS25
MRPS26	Q9BYN8	RT26_HUMAN	Small ribosomal subunit protein mS26 (28S ribosomal protein S13, mitochondrial) (MRP-S13) (S13mt) (28S ribosomal protein S26, mitochondrial) (MRP-S26) (S26mt)	MRPS26 C20orf193 RPMS13
MRPS27	Q92552	RT27_HUMAN	Small ribosomal subunit protein mS27 (28S ribosomal protein S27, mitochondrial) (MRP-S27) (S27mt) (Mitochondrial ribosomal protein S27)	MRPS27 KIAA0264
MRPS28	P82673	RT35_HUMAN	Small ribosomal subunit protein mS35 (28S ribosomal protein S28, mitochondrial) (MRP-S28) (S28mt) (28S ribosomal protein S35, mitochondrial) (MRP-S35) (S35mt)	MRPS35 MRPS28 HDCMD11P MDS023 PSEC0213
MRPS28	Q9Y2Q9	RT28_HUMAN	Small ribosomal subunit protein bS1m (28S ribosomal protein S28, mitochondrial) (MRP-S28) (S28mt) (28S ribosomal protein S35, mitochondrial) (MRP-S35) (S35mt)	MRPS28 MRPS35 HSPC007
MRPS30	Q9NP92	RT30_HUMAN	Large ribosomal subunit protein mL65 (39S ribosomal protein S30, mitochondrial) (MRP-S30) (S30mt) (Large ribosomal subunit protein mS30) (Programmed cell death protein 9)	MRPS30 PDCD9 BM-047
MRPS31	Q92665	RT31_HUMAN	Small ribosomal subunit protein mS31 (28S ribosomal protein S31, mitochondrial) (MRP-S31) (S31mt) (Imogen 38)	MRPS31 IMOGN38
MRPS33	Q9Y291	RT33_HUMAN	Small ribosomal subunit protein mS33 (28S ribosomal protein S33, mitochondrial) (MRP-S33) (S33mt)	MRPS33 CGI-139 PTD003
MRPS34	P82930	RT34_HUMAN	Small ribosomal subunit protein mS34 (28S ribosomal protein S34, mitochondrial) (MRP-S34) (S34mt)	MRPS34
MRPS35	P82673	RT35_HUMAN	Small ribosomal subunit protein mS35 (28S ribosomal protein S28, mitochondrial) (MRP-S28) (S28mt) (28S ribosomal protein S35, mitochondrial) (MRP-S35) (S35mt)	MRPS35 MRPS28 HDCMD11P MDS023 PSEC0213
MRPS35	Q9Y2Q9	RT28_HUMAN	Small ribosomal subunit protein bS1m (28S ribosomal protein S28, mitochondrial) (MRP-S28) (S28mt) (28S ribosomal protein S35, mitochondrial) (MRP-S35) (S35mt)	MRPS28 MRPS35 HSPC007
MRPS36	P82909	KGD4_HUMAN	Alpha-ketoglutarate dehydrogenase component 4	MRPS36 KGD4 DC47
MRPS5	P82675	RT05_HUMAN	Small ribosomal subunit protein uS5m (28S ribosomal protein S5, mitochondrial) (MRP-S5) (S5mt)	MRPS5
MRPS6	P82932	RT06_HUMAN	Small ribosomal subunit protein bS6m (28S ribosomal protein S6, mitochondrial) (MRP-S6) (S6mt)	MRPS6 C21orf101 RPMS6
MRPS7	Q9Y2R9	RT07_HUMAN	Small ribosomal subunit protein uS7m (28S ribosomal protein S7, mitochondrial) (MRP-S7) (S7mt) (bMRP-27a) (bMRP27a)	MRPS7
MRPS9	P82933	RT09_HUMAN	Small ribosomal subunit protein uS9m (28S ribosomal protein S9, mitochondrial) (MRP-S9) (S9mt)	MRPS9 RPMS9
MRRF	Q96E11	RRFM_HUMAN	Ribosome-recycling factor, mitochondrial (RRF) (mtRRF) (Ribosome-releasing factor, mitochondrial)	MRRF
MRS2	Q9HD23	MRS2_HUMAN	Magnesium transporter MRS2 homolog, mitochondrial (MRS2-like protein)	MRS2 HPT MRS2L
MRTO4	Q9UKD2	MRT4_HUMAN	mRNA turnover protein 4 homolog (Ribosome assembly factor MRTO4)	MRTO4 C1orf33 MRT4
MSANTD2	Q6P1R3	MSD2_HUMAN	Myb/SANT-like DNA-binding domain-containing protein 2	MSANTD2 C11orf61
MSH2	P43246	MSH2_HUMAN	DNA mismatch repair protein Msh2 (hMSH2) (MutS protein homolog 2)	MSH2
MSH3	P20585	MSH3_HUMAN	DNA mismatch repair protein Msh3 (hMSH3) (Divergent upstream protein) (DUP) (Mismatch repair protein 1) (MRP1)	MSH3 DUC1 DUG
MSH6	P52701	MSH6_HUMAN	DNA mismatch repair protein Msh6 (hMSH6) (G/T mismatch-binding protein) (GTBP) (GTMBP) (MutS protein homolog 6) (MutS-alpha 160 kDa subunit) (p160)	MSH6 GTBP
MSI2	Q96DH6	MSI2H_HUMAN	RNA-binding protein Musashi homolog 2 (Musashi-2)	MSI2
MSL1	Q68DK7	MSL1_HUMAN	Male-specific lethal 1 homolog (MSL-1) (Male-specific lethal 1-like 1) (MSL1-like 1) (Male-specific lethal-1 homolog 1)	MSL1 MSL1L1
MSL2	Q9HCI7	MSL2_HUMAN	E3 ubiquitin-protein ligase MSL2 (EC 2.3.2.-) (E3 ubiquitin-protein transferase MSL2) (Male-specific lethal 2-like 1) (MSL2-like 1) (Male-specific lethal-2 homolog) (MSL-2) (Male-specific lethal-2 homolog 1) (RING finger protein 184)	MSL2 KIAA1585 MSL2L1 RNF184
MSL3	Q8N5Y2	MS3L1_HUMAN	Male-specific lethal 3 homolog (Male-specific lethal-3 homolog 1) (Male-specific lethal-3 protein-like 1) (MSL3-like 1)	MSL3 MSL3L1
MSMO1	Q15800	MSMO1_HUMAN	Methylsterol monooxygenase 1 (EC 1.14.18.9) (C-4 methylsterol oxidase) (Sterol-C4-methyl oxidase)	MSMO1 DESP4 ERG25 SC4MOL
MSN	P26038	MOES_HUMAN	Moesin (Membrane-organizing extension spike protein)	MSN
MSRA	Q9UJ68	MSRA_HUMAN	Mitochondrial peptide methionine sulfoxide reductase (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase) (Protein-methionine-S-oxide reductase) (PMSR)	MSRA
MSS51	Q4VC12	MSS51_HUMAN	Putative protein MSS51 homolog, mitochondrial (Zinc finger MYND domain-containing protein 17)	MSS51 ZMYND17
MST1L	Q2TV78	MST1L_HUMAN	Putative macrophage stimulating 1-like protein (Brain rescue factor 1) (BRF-1) (Hepatocyte growth factor-like protein homolog)	MST1L D1F15S1A MST1P9 MSTP9
MSTO1	Q9BUK6	MSTO1_HUMAN	Protein misato homolog 1	MSTO1 LST005 SLTP005
MT-ATP6	P00846	ATP6_HUMAN	ATP synthase subunit a (F-ATPase protein 6)	MT-ATP6 ATP6 ATPASE6 MTATP6
MT-ATP8	P03928	ATP8_HUMAN	ATP synthase protein 8 (A6L) (F-ATPase subunit 8)	MT-ATP8 ATP8 ATPASE8 MTATP8
MT-CO2	P00403	COX2_HUMAN	Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II)	MT-CO2 COII COX2 COXII MTCO2
MT-CO3	P00414	COX3_HUMAN	Cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide III)	MT-CO3 COIII COXIII MTCO3
MT-CYB	P00156	CYB_HUMAN	Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit)	MT-CYB COB CYTB MTCYB
MT-ND1	P03886	NU1M_HUMAN	NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2) (NADH dehydrogenase subunit 1)	MT-ND1 MTND1 NADH1 ND1
MT-ND2	P03891	NU2M_HUMAN	NADH-ubiquinone oxidoreductase chain 2 (EC 7.1.1.2) (NADH dehydrogenase subunit 2)	MT-ND2 MTND2 NADH2 ND2
MT-ND3	P03897	NU3M_HUMAN	NADH-ubiquinone oxidoreductase chain 3 (EC 7.1.1.2) (NADH dehydrogenase subunit 3)	MT-ND3 MTND3 NADH3 ND3
MT-ND4	P03905	NU4M_HUMAN	NADH-ubiquinone oxidoreductase chain 4 (EC 7.1.1.2) (NADH dehydrogenase subunit 4)	MT-ND4 MTND4 NADH4 ND4
MT-ND5	P03915	NU5M_HUMAN	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2) (NADH dehydrogenase subunit 5)	MT-ND5 MTND5 NADH5 ND5
MT1F	P04733	MT1F_HUMAN	Metallothionein-1F (MT-1F) (Metallothionein-IF) (MT-IF)	MT1F PRO0376
MTA1	Q13330	MTA1_HUMAN	Metastasis-associated protein MTA1	MTA1
